SampleID	A8812_JewBury1-51926-SortMeRNA-Naive	A8824_JewBury2-71125-SortMeRNA-Naive	A12014_EuroHG1-100k-SortMeRNA-Naive	A12017_EuroHG2-93208-SortMeRNA-Naive	A12826_LBK1-100k-SortMeRNA-Naive	A12829_LBK2-100k-SortMeRNA-Naive	A12873_Chimp-100k-SortMeRNA-Naive	A13204_AfrPP2-100k-SortMeRNA-Naive	A13208_AfrSF2-100k-SortMeRNA-Naive	A13209_AfrSF3-100k-SortMeRNA-Naive	A13210-AfrSF4-100k-SortMeRNA-Naive	A13213_AfrPP1-100k-SortMeRNA-Naive	A13232_IndRev1-100k-SortMeRNA-Naive	A13234_IndRev2-100k-SortMeRNA-Naive	A13344_ET11_EBC-100k-SortMeRNA-Naive	AFR8_EBC-9076-SortMeRNA-Naive	8812Jewbury	8824Jewbury	12014Meso	12017Meso	12826LBK	12829LBK	12873Chimp	13204Sf	13208Sf	13209Sf	13210Sf	13213Sf	IndustrialRevolution1-1.	IndustrialRevolution2	IndustrialRevolution3
Piscirickettsiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	1	1	19165	204	117	2
Xanthomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	60	2	0	417	441	1	1	21	0	1	4548	165	286	156
Xanthomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	1	10043	3882	544	29	5004	168	129	6520	9957	2266	10	17	9
Luteimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	658	0	0	0	0
Lysobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	41	0	0	71	0	0	0	0	2	0	1
Pseudoxanthomonas mexicana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Stenotrophomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	250	8	1	0	166	1	0	43	147	11	0	0	0
Thermomonas fusca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
PVC group	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	1	3	0
Planctomycetes	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	9	0	0	0	0	48	0	0	0	0	1	2030	11	0	0
Phycisphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0
Planctomycetia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	135	0	0	0	0	23	7	80
Gemmataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	635	76	0	0	0	0	0	0	1	0	1
Gemmata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	32	0	0	0	0	0	0	0	8	0	3
Isosphaeraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	22
Pirellula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Planctomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Verrucomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	54	0	0	0	0	0	0	0	0	0
Chthoniobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	88	0	0	0	0	0	0	0	0	0
Verrucomicrobiales	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobium	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spirochaetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	5	0	0	0	7	0	0	0	0	0	0	2	0	0
Spirochaetales	8	1	0	4	4	2	2	6	7	7	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spirochaetaceae	256	167	0	438	348	172	1511	124	378	439	275	410	437	322	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema	82	0	0	117	190	74	0	59	125	123	72	231	126	141	0	0	986	267	0	1	80	349	0	347	157	0	0	0	1674	846	1013
Treponema amylovorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	19	1
Treponema socranskii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	903	167	0	0	65	120	0	814	1	0	0	0	2127	838	430
Synergistales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16872	1924	4	2833	1992	202	2110	8482	784	4	3	9	52883	13961	8374
Synergistaceae	437	293	201	1105	962	145	453	227	2149	1240	3098	1060	319	211	7	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Candidatus Tammella	0	0	0	0	0	0	0	0	60	68	0	0	0	0	0	0	237	165	1	116	242	130	0	210	84	0	0	0	837	0	1
Fretibacterium	994	423	216	2762	2088	243	1780	368	4537	1517	3302	2755	1301	662	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyramidobacter	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyramidobacter piscolens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	163	0	0	153	39	0	0	0	0	0	0	258	0	0
Terrabacteria group	397	693	645	1293	1578	920	1994	1102	1396	2143	1497	966	277	669	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetia	1278	2750	1691	5316	4472	1721	4832	3085	1366	3355	4099	2634	1305	2430	12	0	6889	4409	4991	17400	8719	4552	16044	11007	4840	3	5	11983	3150	1648	3641
Actinomycetales	0	0	0	0	2	2	0	2	1	4	0	1	2	1	0	0	1257	75	782	1081	1678	238	3679	346	1229	1491	6	48377	5053	1313	1519
Actinomycetaceae	66	162	52	472	228	68	404	181	33	123	38	73	83	96	2	0	33	0	0	0	0	0	0	0	1	0	0	0	54	6	1
Actinomyces	1947	4450	1971	11085	5623	2793	5449	3312	1764	6969	5383	4692	2401	3829	20	0	23354	7789	9	15641	22360	15520	83409	71192	53534	43	30	43	31620	5022	14158
Corynebacteriales	64	82	0	87	52	80	84	63	64	47	10	31	108	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacteriaceae	140	87	0	0	57	224	235	0	0	0	106	53	278	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium	300	106	0	0	70	310	0	0	0	0	308	102	667	920	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycobacteriaceae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycobacterium	118	176	124	671	479	128	175	314	107	816	257	228	125	132	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcales	71	148	94	290	247	220	8	212	121	163	119	173	149	185	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacteriaceae	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcaceae	43	0	0	0	0	61	65	0	0	0	0	0	60	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacteriales	11	4	1	72	36	50	3	40	22	17	0	20	14	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioidaceae	0	0	1	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioides	0	0	182	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacteriaceae	493	287	0	0	423	395	916	86	149	123	28	330	542	681	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium	661	266	0	0	517	474	164	0	97	112	244	285	649	751	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomycetaceae	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Armatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0
Fimbriimonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Chloroflexi	20	17	219	120	200	27	4	135	281	158	215	67	7	21	0	0	29	0	0	1426	57	538	0	58	152	0	0	0	5	0	1
Anaerolineae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	0	196	168	48	0	0	132	0	0	0	37	0	0
Anaerolineales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27161	3478	25	8749	22993	10145	4679	49164	35476	17	24	38	16702	3068	5063
Anaerolineaceae	445	279	1997	2174	2357	421	160	1398	6227	1580	2042	1141	306	174	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dehalococcoidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	0	0	2	0	0	0	0	0	0	0	0
Thermomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	3	26	6	24	0	0	0	7022	16	5	11
Cyanobacteria	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	7	0	0	91	0	10	186	0	0	0	0	0	0	0	0
Gloeobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	8	230	0	0	0	0	0	0	0	0	0	0
Nostocaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0
Chroococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	2	18	3	10	5	4	5	9	9	0	0	0
Pseudanabaenaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0
Acaryochloris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2954	0	0	1	0	0	0	0	0
Deinococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	1542	0	0	0	0	0	0	0	0
Thermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0
Truepera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Firmicutes	604	1119	1561	1403	1560	1592	1578	1283	2193	1792	2079	1326	524	883	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacilli	395	781	557	854	452	988	429	772	140	83	28	504	351	528	1	0	1177	1356	1	460	1	384	6	2565	8	5	7	3	39	1158	282
Bacillales	115	200	209	184	170	233	0	175	168	119	116	199	67	136	2	0	0	3	0	0	90	4	3	106	1	0	132	0	1	8	2
Alicyclobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	67	0	0	0	0	0	0
Bacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	20	0	0	0	42	0	1	0	0
Anoxybacillus kestanbolensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	29	0	49	774	69	1570	269	0	0	549	577	9	17	8
Caldibacillus thermoamylovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
Cytobacillus firmus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	96	0	0	23	0	0	899	0	1	0	1
Geobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Natronobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	36	0	0	0
Peribacillus muralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0
Priestia flexa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0
Virgibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	3	1	0	1	2	3	0	0	0
Weizmannia coagulans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0
Bacillales incertae sedis	1	0	0	3	0	1	0	9	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermicanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	684	0	0	0	0	0	0	0	0	0	0
Gemella	147	392	765	671	0	95	0	397	0	0	0	635	83	0	2	0	139	97	0	13	0	38	0	155	0	0	0	1	0	18	7
Paenibacillaceae	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	1	0	0	0	55	0	0	9	0	1	7609	93	0	2	0
Ammoniphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5136	0	0	0	0
Aneurinibacillus migulanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0
Brevibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	29478	1	0	0	1
Cohnella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	3620	827	1	2	0	2	2	30750	2	0	0
Paenibacillus	0	0	83	0	0	0	0	0	59	71	0	0	0	0	0	0	28	58	9924	9301	2725	605	1780	319	2	10	8784	64935	36	27	8
Paenibacillus chondroitinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3062	0	1290	226	1	25	0	1	0	80	1	1	0
Planococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	0	2	0	0	0	46	1	6	0
Paenisporosarcina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	7754	3	0	1	19	0	3	3	9022	2	1	0
Sporosarcina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1828	0	0	0	1	0	0	0	64	0	0	0
Staphylococcaceae	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus	0	0	0	106	54	0	0	72	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0
Staphylococcus epidermidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Thermoactinomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	2	0	0	0	0	0	0	0	0	0
Planifilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	1	0	0	0	0	0
Shimazuella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	15706	1	0	0
Lactobacillales	813	1210	1418	745	637	1546	0	1203	149	0	20	753	889	908	4	0	199	101	0	0	0	207	0	47	0	0	0	0	11	754	250
Aerococcaceae	120	138	0	0	0	262	0	0	0	0	0	0	115	101	0	0	1857	611	0	0	197	5084	2	51	1502	2	2	1	46	1951	1125
Abiotrophia	88	0	0	0	0	230	0	0	0	0	0	0	101	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carnobacteriaceae	0	64	0	0	0	56	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulicatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	8	0	1	0	0	0	0	0	25	7
Enterococcaceae	4	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	34	2
Enterococcus	51	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15	8
Vagococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leuconostoc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Streptococcaceae	27	100	28	104	47	50	0	89	13	0	0	37	29	30	0	0	0	6	0	0	0	1	0	1	0	0	0	0	1	89	30
Streptococcus	3961	10013	18688	8003	4520	6627	0	10455	1089	0	1124	6259	5613	4921	34	0	23077	16089	989	24046	8458	28136	12	51176	7563	8	13	1871	705	32532	34025
Streptococcus anginosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	79	0	54	3	11	0	825	1	0	0	0	541	306	297
Streptococcus infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Clostridia	11	12	66	27	91	33	51	44	222	185	7	56	17	17	0	0	0	4	0	1	0	0	0	122	0	0	1655	3071	0	1	1
Eubacteriales	2119	4209	10416	8473	6983	2236	7571	3902	19989	13608	4243	6185	3285	2364	21	0	37238	38073	3487	44812	27436	13505	41609	72305	38389	64	74	49425	147693	25092	31376
Christensenellaceae	213	128	7651	1850	1141	154	0	1972	1386	52	1680	720	93	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Christensenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	12	0	0	0	0	7	2	4
Clostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3	0	196	1088	2	762	61	14	0	0	0	376	6	0
Oxobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0
Defluviitaleaceae	36	0	0	0	0	0	0	0	0	0	64	58	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacteriaceae	6	68	0	78	9	0	690	0	3	99	0	2	98	88	0	0	100	375	1	524	1	0	34063	1	0	6	2	8	1534	795	1172
Acetobacterium	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"environmental samples <firmicutes,genus Eubacterium>"	0	0	0	0	9	0	0	0	6	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium sp. oral clone FX028	47	65	0	0	85	0	0	0	185	0	0	136	91	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoramibacter	0	0	0	0	0	0	660	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacteriales incertae sedis	58	3	0	3	24	55	1	4	1	2	11	24	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacteriales Family XII. Incertae Sedis	0	0	0	24	0	0	0	3	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusibacter	0	0	0	105	0	0	0	122	208	79	0	0	0	0	0	0	603	8	0	103	702	167	0	2215	157	2	0	0	2	1	3
Eubacteriales Family XIII. Incertae Sedis	0	37	1	45	31	0	1	10	39	15	12	66	80	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Eubacterium] minutum	0	0	0	121	200	0	0	0	266	594	116	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerovorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	45	0	10	46	24	22	137	68	0	0	1	269	226	234
Mogibacterium	0	72	510	973	0	0	188	155	0	0	63	0	0	0	0	0	153	473	1	113	103	119	24445	714	0	5	3	3	1633	45	811
Mogibacterium timidum	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gracilibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae	783	901	2494	1101	1451	1406	677	1077	1306	821	350	1871	934	628	3	0	5696	1635	7	2505	1348	10058	29	38737	8678	7	2	10	6044	8675	3157
Butyrivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	855	370	0	0	151	607	2	3633	233	1	1	1	59	560	672
Catonella	0	0	0	0	0	52	0	0	0	0	0	134	62	0	0	0	195	68	0	0	0	0	0	21	0	0	0	0	94	243	94
Johnsonella	226	275	1584	472	518	680	0	237	613	98	344	822	503	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnoanaerobaculum	159	87	0	0	116	207	0	132	0	0	68	263	280	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moryella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	96	0	1195	117	28	0	1207	647	0	0	0	726	114	101
Oribacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	44	0	0	0	0	0	0	0	0	0	0	30	2	22
Roseburia	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fastidiosipila	0	0	336	297	0	0	140	62	132	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oscillospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	14	1	5005	0	0	0	0	0	0	0	0	0	0	0
Peptococcaceae	0	0	113	11	6	5	0	20	11	0	0	41	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	1	0	1
Desulfosporosinus meridiei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1032	0	0	0	0	21	0	0	0	0	0	0	0
Peptococcus	0	0	1150	349	55	60	0	198	122	0	0	470	0	0	0	0	1127	391	0	1133	69	1900	1	12720	851	1	0	0	201	373	123
Peptostreptococcaceae	689	518	408	626	300	772	0	282	162	81	774	493	585	443	6	0	3247	1255	0	159	373	1024	1	721	198	0	0	1	175	4079	1657
Filifactor	43	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	97	16	0	0	0	2	3	56	0	0	0	0	216	115	105
Peptoclostridium	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptostreptococcaceae incertae sedis	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptostreptococcus	0	0	568	236	0	0	0	89	70	0	0	139	0	0	0	0	338	398	1	2141	0	294	2	1949	555	0	1	0	206	351	396
Symbiobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0
Syntrophomonadaceae	0	0	0	92	55	0	0	0	130	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pelospora	0	0	0	158	74	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syntrophomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	97	0	73	1482	299	1	445	40	2	0	1	19103	86	154
Halanaerobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
Erysipelotrichaceae	0	191	222	88	0	0	146	0	0	0	120	54	50	0	0	0	89	2684	0	0	0	85	1	0	0	0	0	1	734	29	39
Bulleidia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	31	0	0	105	0	992	93	0	0	0	0	14	5	53
Selenomonadales	423	469	385	386	468	545	2479	515	248	54	241	1168	518	432	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenomonadaceae	0	0	0	0	6	0	0	12	0	0	0	44	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenomonas	0	0	0	0	81	0	0	75	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tenericutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3
Mollicutes	0	0	0	0	0	0	0	0	61	0	19	0	0	0	0	0	17	12	0	0	0	68	0	40	0	0	0	0	6	6	4
Acholeplasmataceae	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acholeplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Mycoplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	2
Archaea	0	1	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	443	0	0	0	0	0	0	0	0
Methanomassiliicoccaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	40	0	0	633	167	135	23	0	0	0	0	0	0	0
Euryarchaeota	0	7	0	0	11	3	0	10	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobacteriaceae	0	20	0	0	52	27	0	22	8	0	0	5	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter	0	184	0	0	518	181	0	188	61	0	0	118	0	0	0	0	12927	37781	4	11598	132066	88670	21	7496	5785	16	14	1017	8855	352	24191
Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	48	83	0	0	0	0	0	0
Spermatophyta	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
